Resource ID,Longitude,Latitude,Street,City,State,Zip Code,Historic Name,Current Name,Extant,Neighborhood,Planning District,Inventory,Construction Start Year,Construction End Year,Construction Date Precision,Original Architect,Philadelphia Register Individual Designation Year,National Register Individual Designation Year,National Historic Landmark Individual Designation Year,Philadelphia Register Historic District,Photo URL,Resource URL
id,lng,lat,street,city,state,zipcode,nameHist,nameCurr,extant,neighborhood,planningDistrict,inventories,constStart,constEnd,constDateType,architects,prIndYear,nrIndYear,nhlIndYear,prDist,photo,url
3293,39.96540022,-75.17002793,1926 Mount Vernon St,Philadelphia,PA,19130-3214,1926 Mount Vernon St,,Yes,Spring Garden,Central,,,,,,1975,,,Spring Garden,,http://www.preservephiladelphia.org/historic-resources/3293
3294,39.94602346,-75.16168221,304 S Fawn St,Philadelphia,PA,19107-5913,304 S Fawn St,,Yes,Washington Square West,Central,,,,,,1961,,,,,http://www.preservephiladelphia.org/historic-resources/3294
3295,40.03268248,-75.17591298,124 Maplewood Ave,Philadelphia,PA,19144-0000,124 Maplewood Ave,,Yes,"Germantown, Penn Knox",Upper Northwest,,,,,,1966,,,,,http://www.preservephiladelphia.org/historic-resources/3295
3296,39.95309597,-75.17555211,20 S 21st St,Philadelphia,PA,19103-3105,20 S 21st St,,Yes,Rittenhouse,Central,,,,,,1982,,,,,http://www.preservephiladelphia.org/historic-resources/3296
3297,39.964581,-75.17156875,2027 Brandywine St,Philadelphia,PA,19130-3204,2027 Brandywine St,,Yes,Spring Garden,Central,,,,,,1975,,,Spring Garden,,http://www.preservephiladelphia.org/historic-resources/3297
3298,39.9366448,-75.14597455,124 Queen St,Philadelphia,PA,19147-3435,124 Queen St,,Yes,Queen Village,Central,,,,,,1958,,,,,http://www.preservephiladelphia.org/historic-resources/3298
3299,39.93570683,-75.14795281,219 Montrose St,Philadelphia,PA,19147-4226,219 Montrose St,,Yes,Queen Village,South,,,,,,1966,,,,,http://www.preservephiladelphia.org/historic-resources/3299
3300,39.96639929,-75.17450968,2201 Mount Vernon St,Philadelphia,PA,19130-3114,2201 Mount Vernon St,,Yes,Spring Garden,Central,,,,,,1974,,,Spring Garden,,http://www.preservephiladelphia.org/historic-resources/3300
3301,39.94377505,-75.16125279,1139 Rodman St,Philadelphia,PA,19147-1201,1139 Rodman St,,Yes,Washington Square West,Central,,,,,,1963,,,,,http://www.preservephiladelphia.org/historic-resources/3301
3302,39.94164294,-75.21912909,5111-21 Regent St,Philadelphia,PA,19143-4818,Regent Terrace,,Yes,Kingsessing,University/Southwest,,,1910,,E. Allen Wilson,1986,1985,,,,http://www.preservephiladelphia.org/historic-resources/3302
3303,39.94424545,-75.14564228,307-09 S Philip St,Philadelphia,PA,19106-4305,307-09 S Philip St,,Yes,Society Hill,Central,,,,,,1957,,,Society Hill,,http://www.preservephiladelphia.org/historic-resources/3303
3304,39.96621431,-75.17281113,2113 Mount Vernon St,Philadelphia,PA,19130-3133,2113 Mount Vernon St,,Yes,Spring Garden,Central,,,,,,1974,,,Spring Garden,,http://www.preservephiladelphia.org/historic-resources/3304
3305,39.96408283,-75.17191146,2023 Spring Garden St,Philadelphia,PA,19130-3804,2023 Spring Garden St,,Yes,Spring Garden,Central,,,,,,1975,,,Spring Garden,,http://www.preservephiladelphia.org/historic-resources/3305
3306,39.95134194,-75.17665048,119 S Beechwood St,Philadelphia,PA,19103-4437,119 S Beechwood St,,Yes,Rittenhouse,Central,,,,,,1995,,,,,http://www.preservephiladelphia.org/historic-resources/3306
3307,40.02960888,-75.17181571,5321 Knox St,Philadelphia,PA,19144-6215,5321 Knox St,,Yes,"Germantown, Penn Knox",Upper Northwest,,,,,,1984,,,,,http://www.preservephiladelphia.org/historic-resources/3307
3308,39.93735836,-75.14832113,259 Queen St,Philadelphia,PA,19147-3318,259 Queen St,,Yes,Queen Village,Central,,,,,,1966,,,,,http://www.preservephiladelphia.org/historic-resources/3308
3309,39.94555014,-75.14707514,252 S 03rd St,Philadelphia,PA,19106-3811,252 S 03rd St,,Yes,Society Hill,Central,,,,,,1957,,,Society Hill,,http://www.preservephiladelphia.org/historic-resources/3309
3310,39.94877002,-75.14478242,36 Strawberry St,Philadelphia,PA,19106-2811,36 Strawberry St,,Yes,Old City,Central,,,,,,1976,,,Old City,,http://www.preservephiladelphia.org/historic-resources/3310
3311,39.94068563,-75.14701377,626 S American St,Philadelphia,PA,19147-2304,626 S American St,,Yes,Queen Village,Central,,,,,,1958,,,,,http://www.preservephiladelphia.org/historic-resources/3311
3312,39.96455344,-75.17135275,2019 Brandywine St,Philadelphia,PA,19130-3204,2019 Brandywine St,,Yes,Spring Garden,Central,,,,,,1975,,,Spring Garden,,http://www.preservephiladelphia.org/historic-resources/3312
3313,39.94405115,-75.16434847,1325 Rodman St,Philadelphia,PA,19147-1033,1325 Rodman St,,Yes,Washington Square West,Central,,,,,,1984,,,,,http://www.preservephiladelphia.org/historic-resources/3313
3314,39.96480798,-75.17560992,2232 Brandywine St,Philadelphia,PA,19130-3109,2232 Brandywine St,,Yes,Spring Garden,Central,,,,,,1974,,,Spring Garden,,http://www.preservephiladelphia.org/historic-resources/3314
3315,40.02972377,-75.16158886,53 E Logan St,Philadelphia,PA,19144-3016,53 E Logan St,,Yes,Wister,Upper Northwest,,,1870,,,1967,,,East Logan Street,,http://www.preservephiladelphia.org/historic-resources/3315
3316,39.94737982,-75.17576723,2022 Delancey Pl,Philadelphia,PA,19103-6510,2022 Delancey Pl,,Yes,Rittenhouse,Central,,,,,,1972,,,Rittenhouse-Fitler,,http://www.preservephiladelphia.org/historic-resources/3316
3317,39.94496361,-75.15066952,514 Spruce St,Philadelphia,PA,19106-4112,514 Spruce St,,Yes,Society Hill,Central,,,,,,1957,,,Society Hill,,http://www.preservephiladelphia.org/historic-resources/3317
3318,39.95273559,-75.14478885,121 N 03rd St,Philadelphia,PA,19106-1903,121 N 03rd St,,Yes,Old City,Central,,,,,,1984,,,Old City,,http://www.preservephiladelphia.org/historic-resources/3318
3319,39.96540657,-75.17222808,2043 Green St,Philadelphia,PA,19130-3208,2043 Green St,,Yes,Spring Garden,Central,,,,,,1975,,,Spring Garden,,http://www.preservephiladelphia.org/historic-resources/3319
3320,39.94360133,-75.15135162,524 Pine St,Philadelphia,PA,19106-4111,524 Pine St,,Yes,Society Hill,Central,,,,,,1957,,,Society Hill,,http://www.preservephiladelphia.org/historic-resources/3320
3321,39.94411381,-75.1488801,332-34 S 04th St,Philadelphia,PA,19106-0000,332-34 S 04th St,,Yes,Society Hill,Central,,,,,,1957,,,Society Hill,,http://www.preservephiladelphia.org/historic-resources/3321
3322,39.94476256,-75.1602893,1110 Pine St,Philadelphia,PA,19107-6011,1110 Pine St,,Yes,Washington Square West,Central,,,,,,1963,,,,,http://www.preservephiladelphia.org/historic-resources/3322
3323,39.94395329,-75.15415343,714 Pine St,Philadelphia,PA,19106-4005,714 Pine St,,Yes,Society Hill,Central,,,,,,1957,,,Society Hill,,http://www.preservephiladelphia.org/historic-resources/3323
3324,39.95269467,-75.14253482,130 Elfreths Aly,Philadelphia,PA,19106-2006,130 Elfreths Aly,,Yes,Old City,Central,,,,,,1956,,,Old City,,http://www.preservephiladelphia.org/historic-resources/3324
3325,39.94613894,-75.16791443,1531 Pine St,Philadelphia,PA,19102-4623,1531 Pine St,,Yes,Rittenhouse,Central,,,,,,1971,,,Rittenhouse-Fitler,,http://www.preservephiladelphia.org/historic-resources/3325
3326,39.9420356,-75.17991654,2210 Madison Sq,Philadelphia,PA,19146-1711,2210 Madison Sq,,Yes,Graduate Hospital,Central,,,,,,1971,,,,,http://www.preservephiladelphia.org/historic-resources/3326
3327,39.93815786,-75.15268828,529 Queen St,Philadelphia,PA,19147-3032,529 Queen St,,Yes,Queen Village,Central,,,,,,1984,,,,,http://www.preservephiladelphia.org/historic-resources/3327
3328,39.9453736,-75.16240928,1229 Pine St,Philadelphia,PA,19107-5945,1229 Pine St,,Yes,Washington Square West,Central,,,,,,1961,,,,,http://www.preservephiladelphia.org/historic-resources/3328
3329,39.94974684,-75.21642475,4644 Hazel Ave,Philadelphia,PA,19143-2104,4644 Hazel Ave,,Yes,Cedar Park,University/Southwest,,,,,,1976,,,,,http://www.preservephiladelphia.org/historic-resources/3329
3330,39.96421703,-75.17315787,2107 Spring Garden St,Philadelphia,PA,19130-3501,2107 Spring Garden St,,Yes,Spring Garden,Central,,,,,,1974,,,Spring Garden,,http://www.preservephiladelphia.org/historic-resources/3330
